SLoc,Pstng Date,Consumption,Month_Year
5003,2023-03-01,6.0,Mar 2023
5003,2023-04-01,11.0,Apr 2023
5003,2023-05-01,4.0,May 2023
5003,2023-06-01,1.0,Jun 2023
5003,2023-07-01,2.0,Jul 2023
5003,2023-08-01,8.0,Aug 2023
5003,2023-09-01,8.0,Sep 2023
5003,2023-10-01,1.0,Oct 2023
5003,2023-11-01,13.0,Nov 2023
5003,2023-12-01,10.0,Dec 2023
5003,2024-01-01,9.0,Jan 2024
5003,2024-02-01,9.0,Feb 2024
5003,2024-03-01,3.0,Mar 2024
5003,2024-04-01,6.0,Apr 2024
5003,2024-05-01,5.0,May 2024
5003,2024-06-01,6.0,Jun 2024
5003,2024-07-01,2.0,Jul 2024
5003,2024-08-01,7.0,Aug 2024
5003,2024-09-01,6.0,Sep 2024
5003,2024-10-01,6.0,Oct 2024
5003,2024-11-01,7.0,Nov 2024
5003,2024-12-01,2.0,Dec 2024
5003,2025-01-01,9.0,Jan 2025
5003,2025-02-01,3.0,Feb 2025
5003,2025-03-01,8.0,Mar 2025
5003,2025-04-01,3.0,Apr 2025
5003,2025-05-01,4.0,May 2025
5003,2025-06-01,5.0,Jun 2025
5003,2025-07-01,11.0,Jul 2025
5003,2025-08-01,8.0,Aug 2025
5003,2025-09-01,6.0,Sep 2025
5003,2025-10-01,4.0,Oct 2025
5003,2025-11-01,8.0,Nov 2025
5003,2025-12-01,8.0,Dec 2025
5003,2026-01-01,6.0,Jan 2026
5003,2026-02-01,7.0,Feb 2026
5003,2026-03-01,7.0,Mar 2026
5003,2026-04-01,5.0,Apr 2026
5004,2020-01-01,0.0,Jan 2020
5004,2020-02-01,0.0,Feb 2020
5004,2020-03-01,0.0,Mar 2020
5004,2020-04-01,0.0,Apr 2020
5004,2020-05-01,0.0,May 2020
5004,2020-06-01,0.0,Jun 2020
5004,2020-07-01,0.0,Jul 2020
5004,2020-08-01,0.0,Aug 2020
5004,2020-09-01,0.0,Sep 2020
5004,2020-10-01,1.0,Oct 2020
5004,2020-11-01,0.0,Nov 2020
5004,2020-12-01,0.0,Dec 2020
5004,2021-01-01,1.0,Jan 2021
5004,2021-02-01,0.0,Feb 2021
5004,2021-03-01,0.0,Mar 2021
5004,2021-04-01,1.0,Apr 2021
5004,2021-05-01,0.0,May 2021
5004,2021-06-01,1.0,Jun 2021
5004,2021-07-01,0.0,Jul 2021
5004,2021-08-01,0.0,Aug 2021
5004,2021-09-01,0.0,Sep 2021
5004,2021-10-01,0.0,Oct 2021
5004,2021-11-01,0.0,Nov 2021
5004,2021-12-01,2.0,Dec 2021
5004,2022-01-01,0.0,Jan 2022
5004,2022-02-01,1.0,Feb 2022
5004,2022-03-01,0.0,Mar 2022
5004,2022-04-01,1.0,Apr 2022
5004,2022-05-01,1.0,May 2022
5004,2022-06-01,0.0,Jun 2022
5004,2022-07-01,0.0,Jul 2022
5004,2022-08-01,0.0,Aug 2022
5004,2022-09-01,0.0,Sep 2022
5004,2022-10-01,0.0,Oct 2022
5004,2022-11-01,0.0,Nov 2022
5004,2022-12-01,0.0,Dec 2022
5004,2023-01-01,0.0,Jan 2023
5004,2023-02-01,1.0,Feb 2023
5004,2023-03-01,0.0,Mar 2023
5004,2023-04-01,0.0,Apr 2023
5004,2023-05-01,0.0,May 2023
5004,2023-06-01,0.0,Jun 2023
5004,2023-07-01,1.0,Jul 2023
5004,2023-08-01,1.0,Aug 2023
5004,2023-09-01,1.0,Sep 2023
5004,2023-10-01,2.0,Oct 2023
5004,2023-11-01,2.0,Nov 2023
5004,2023-12-01,0.0,Dec 2023
5004,2024-01-01,1.0,Jan 2024
5004,2024-02-01,0.0,Feb 2024
5004,2024-03-01,0.0,Mar 2024
5004,2024-04-01,3.0,Apr 2024
5004,2024-05-01,2.0,May 2024
5004,2024-06-01,0.0,Jun 2024
5004,2024-07-01,0.0,Jul 2024
5004,2024-08-01,2.0,Aug 2024
5004,2024-09-01,0.0,Sep 2024
5004,2024-10-01,2.0,Oct 2024
5004,2024-11-01,1.0,Nov 2024
5004,2024-12-01,0.0,Dec 2024
5004,2025-01-01,1.0,Jan 2025
5004,2025-02-01,2.0,Feb 2025
5004,2025-03-01,0.0,Mar 2025
5004,2025-04-01,1.0,Apr 2025
5004,2025-05-01,2.0,May 2025
5004,2025-06-01,0.0,Jun 2025
5004,2025-07-01,0.0,Jul 2025
5004,2025-08-01,0.0,Aug 2025
5004,2025-09-01,0.0,Sep 2025
5004,2025-10-01,1.0,Oct 2025
5004,2025-11-01,1.0,Nov 2025
5004,2025-12-01,2.0,Dec 2025
5004,2026-01-01,0.0,Jan 2026
5004,2026-02-01,1.0,Feb 2026
5004,2026-03-01,1.0,Mar 2026
5004,2026-04-01,0.0,Apr 2026
5005,2020-01-01,1.0,Jan 2020
5005,2020-02-01,1.0,Feb 2020
5005,2020-03-01,0.0,Mar 2020
5005,2020-04-01,0.0,Apr 2020
5005,2020-05-01,0.0,May 2020
5005,2020-06-01,1.0,Jun 2020
5005,2020-07-01,2.0,Jul 2020
5005,2020-08-01,0.0,Aug 2020
5005,2020-09-01,0.0,Sep 2020
5005,2020-10-01,0.0,Oct 2020
5005,2020-11-01,1.0,Nov 2020
5005,2020-12-01,3.0,Dec 2020
5005,2021-01-01,0.0,Jan 2021
5005,2021-02-01,2.0,Feb 2021
5005,2021-03-01,1.0,Mar 2021
5005,2021-04-01,1.0,Apr 2021
5005,2021-05-01,1.0,May 2021
5005,2021-06-01,1.0,Jun 2021
5005,2021-07-01,1.0,Jul 2021
5005,2021-08-01,0.0,Aug 2021
5005,2021-09-01,0.0,Sep 2021
5005,2021-10-01,6.0,Oct 2021
5005,2021-11-01,6.0,Nov 2021
5005,2021-12-01,3.0,Dec 2021
5005,2022-01-01,0.0,Jan 2022
5005,2022-02-01,2.0,Feb 2022
5005,2022-03-01,3.0,Mar 2022
5005,2022-04-01,4.0,Apr 2022
5005,2022-05-01,5.0,May 2022
5005,2022-06-01,5.0,Jun 2022
5005,2022-07-01,8.0,Jul 2022
5005,2022-08-01,3.0,Aug 2022
5005,2022-09-01,7.0,Sep 2022
5005,2022-10-01,4.0,Oct 2022
5005,2022-11-01,11.0,Nov 2022
5005,2022-12-01,5.0,Dec 2022
5005,2023-01-01,5.0,Jan 2023
5005,2023-02-01,4.0,Feb 2023
5005,2023-03-01,6.0,Mar 2023
5005,2023-04-01,9.0,Apr 2023
5005,2023-05-01,5.0,May 2023
5005,2023-06-01,8.0,Jun 2023
5005,2023-07-01,11.0,Jul 2023
5005,2023-08-01,1.0,Aug 2023
5005,2023-09-01,3.0,Sep 2023
5005,2023-10-01,8.0,Oct 2023
5005,2023-11-01,4.0,Nov 2023
5005,2023-12-01,6.0,Dec 2023
5005,2024-01-01,3.0,Jan 2024
5005,2024-02-01,1.0,Feb 2024
5005,2024-03-01,8.0,Mar 2024
5005,2024-04-01,4.0,Apr 2024
5005,2024-05-01,6.0,May 2024
5005,2024-06-01,6.0,Jun 2024
5005,2024-07-01,5.0,Jul 2024
5005,2024-08-01,6.0,Aug 2024
5005,2024-09-01,5.0,Sep 2024
5005,2024-10-01,5.0,Oct 2024
5005,2024-11-01,7.0,Nov 2024
5005,2024-12-01,4.0,Dec 2024
5005,2025-01-01,3.0,Jan 2025
5005,2025-02-01,7.0,Feb 2025
5005,2025-03-01,3.0,Mar 2025
5005,2025-04-01,2.0,Apr 2025
5005,2025-05-01,8.0,May 2025
5005,2025-06-01,3.0,Jun 2025
5005,2025-07-01,2.0,Jul 2025
5005,2025-08-01,4.0,Aug 2025
5005,2025-09-01,6.0,Sep 2025
5005,2025-10-01,1.0,Oct 2025
5005,2025-11-01,4.0,Nov 2025
5005,2025-12-01,1.0,Dec 2025
5005,2026-01-01,1.0,Jan 2026
5005,2026-02-01,0.0,Feb 2026
5005,2026-03-01,3.0,Mar 2026
5005,2026-04-01,1.0,Apr 2026
5006,2020-01-01,0.0,Jan 2020
5006,2020-02-01,0.0,Feb 2020
5006,2020-03-01,0.0,Mar 2020
5006,2020-04-01,0.0,Apr 2020
5006,2020-05-01,0.0,May 2020
5006,2020-06-01,0.0,Jun 2020
5006,2020-07-01,0.0,Jul 2020
5006,2020-08-01,0.0,Aug 2020
5006,2020-09-01,0.0,Sep 2020
5006,2020-10-01,0.0,Oct 2020
5006,2020-11-01,1.0,Nov 2020
5006,2020-12-01,0.0,Dec 2020
5006,2021-01-01,3.0,Jan 2021
5006,2021-02-01,0.0,Feb 2021
5006,2021-03-01,0.0,Mar 2021
5006,2021-04-01,0.0,Apr 2021
5006,2021-05-01,0.0,May 2021
5006,2021-06-01,0.0,Jun 2021
5006,2021-07-01,1.0,Jul 2021
5006,2021-08-01,1.0,Aug 2021
5006,2021-09-01,0.0,Sep 2021
5006,2021-10-01,0.0,Oct 2021
5006,2021-11-01,2.0,Nov 2021
5006,2021-12-01,0.0,Dec 2021
5006,2022-01-01,0.0,Jan 2022
5006,2022-02-01,1.0,Feb 2022
5006,2022-03-01,0.0,Mar 2022
5006,2022-04-01,1.0,Apr 2022
5006,2022-05-01,2.0,May 2022
5006,2022-06-01,1.0,Jun 2022
5006,2022-07-01,1.0,Jul 2022
5006,2022-08-01,0.0,Aug 2022
5006,2022-09-01,1.0,Sep 2022
5006,2022-10-01,0.0,Oct 2022
5006,2022-11-01,2.0,Nov 2022
5006,2022-12-01,0.0,Dec 2022
5006,2023-01-01,0.0,Jan 2023
5006,2023-02-01,1.0,Feb 2023
5006,2023-03-01,0.0,Mar 2023
5006,2023-04-01,0.0,Apr 2023
5006,2023-05-01,1.0,May 2023
5006,2023-06-01,0.0,Jun 2023
5006,2023-07-01,0.0,Jul 2023
5006,2023-08-01,1.0,Aug 2023
5006,2023-09-01,1.0,Sep 2023
5006,2023-10-01,1.0,Oct 2023
5006,2023-11-01,0.0,Nov 2023
5006,2023-12-01,0.0,Dec 2023
5006,2024-01-01,0.0,Jan 2024
5006,2024-02-01,0.0,Feb 2024
5006,2024-03-01,0.0,Mar 2024
5006,2024-04-01,0.0,Apr 2024
5006,2024-05-01,0.0,May 2024
5006,2024-06-01,0.0,Jun 2024
5006,2024-07-01,0.0,Jul 2024
5006,2024-08-01,1.0,Aug 2024
5006,2024-09-01,1.0,Sep 2024
5006,2024-10-01,1.0,Oct 2024
5006,2024-11-01,0.0,Nov 2024
5006,2024-12-01,1.0,Dec 2024
5006,2025-01-01,0.0,Jan 2025
5006,2025-02-01,0.0,Feb 2025
5006,2025-03-01,1.0,Mar 2025
5006,2025-04-01,0.0,Apr 2025
5006,2025-05-01,0.0,May 2025
5006,2025-06-01,0.0,Jun 2025
5006,2025-07-01,1.0,Jul 2025
5006,2025-08-01,0.0,Aug 2025
5006,2025-09-01,0.0,Sep 2025
5006,2025-10-01,0.0,Oct 2025
5006,2025-11-01,0.0,Nov 2025
5006,2025-12-01,0.0,Dec 2025
5006,2026-01-01,0.0,Jan 2026
5006,2026-02-01,0.0,Feb 2026
5006,2026-03-01,0.0,Mar 2026
5006,2026-04-01,0.0,Apr 2026
5007,2020-01-01,1.0,Jan 2020
5007,2020-02-01,0.0,Feb 2020
5007,2020-03-01,0.0,Mar 2020
5007,2020-04-01,0.0,Apr 2020
5007,2020-05-01,0.0,May 2020
5007,2020-06-01,0.0,Jun 2020
5007,2020-07-01,0.0,Jul 2020
5007,2020-08-01,0.0,Aug 2020
5007,2020-09-01,0.0,Sep 2020
5007,2020-10-01,0.0,Oct 2020
5007,2020-11-01,0.0,Nov 2020
5007,2020-12-01,0.0,Dec 2020
5007,2021-01-01,0.0,Jan 2021
5007,2021-02-01,0.0,Feb 2021
5007,2021-03-01,0.0,Mar 2021
5007,2021-04-01,0.0,Apr 2021
5007,2021-05-01,0.0,May 2021
5007,2021-06-01,0.0,Jun 2021
5007,2021-07-01,0.0,Jul 2021
5007,2021-08-01,0.0,Aug 2021
5007,2021-09-01,0.0,Sep 2021
5007,2021-10-01,0.0,Oct 2021
5007,2021-11-01,0.0,Nov 2021
5007,2021-12-01,0.0,Dec 2021
5007,2022-01-01,0.0,Jan 2022
5007,2022-02-01,0.0,Feb 2022
5007,2022-03-01,0.0,Mar 2022
5007,2022-04-01,0.0,Apr 2022
5007,2022-05-01,0.0,May 2022
5007,2022-06-01,0.0,Jun 2022
5007,2022-07-01,0.0,Jul 2022
5007,2022-08-01,0.0,Aug 2022
5007,2022-09-01,0.0,Sep 2022
5007,2022-10-01,0.0,Oct 2022
5007,2022-11-01,0.0,Nov 2022
5007,2022-12-01,0.0,Dec 2022
5007,2023-01-01,0.0,Jan 2023
5007,2023-02-01,2.0,Feb 2023
5007,2023-03-01,0.0,Mar 2023
5007,2023-04-01,2.0,Apr 2023
5007,2023-05-01,1.0,May 2023
5007,2023-06-01,0.0,Jun 2023
5007,2023-07-01,1.0,Jul 2023
5007,2023-08-01,0.0,Aug 2023
5007,2023-09-01,0.0,Sep 2023
5007,2023-10-01,0.0,Oct 2023
5007,2023-11-01,0.0,Nov 2023
5007,2023-12-01,0.0,Dec 2023
5007,2024-01-01,0.0,Jan 2024
5007,2024-02-01,0.0,Feb 2024
5007,2024-03-01,0.0,Mar 2024
5007,2024-04-01,0.0,Apr 2024
5007,2024-05-01,0.0,May 2024
5007,2024-06-01,0.0,Jun 2024
5007,2024-07-01,0.0,Jul 2024
5007,2024-08-01,0.0,Aug 2024
5007,2024-09-01,0.0,Sep 2024
5007,2024-10-01,0.0,Oct 2024
5007,2024-11-01,0.0,Nov 2024
5007,2024-12-01,4.0,Dec 2024
5007,2025-01-01,1.0,Jan 2025
5007,2025-02-01,0.0,Feb 2025
5007,2025-03-01,0.0,Mar 2025
5007,2025-04-01,1.0,Apr 2025
5007,2025-05-01,0.0,May 2025
5007,2025-06-01,0.0,Jun 2025
5007,2025-07-01,0.0,Jul 2025
5007,2025-08-01,1.0,Aug 2025
5007,2025-09-01,0.0,Sep 2025
5007,2025-10-01,0.0,Oct 2025
5007,2025-11-01,0.0,Nov 2025
5007,2025-12-01,1.0,Dec 2025
5007,2026-01-01,0.0,Jan 2026
5007,2026-02-01,0.0,Feb 2026
5007,2026-03-01,0.0,Mar 2026
5007,2026-04-01,0.0,Apr 2026
5008,2020-01-01,0.0,Jan 2020
5008,2020-02-01,0.0,Feb 2020
5008,2020-03-01,0.0,Mar 2020
5008,2020-04-01,0.0,Apr 2020
5008,2020-05-01,0.0,May 2020
5008,2020-06-01,0.0,Jun 2020
5008,2020-07-01,0.0,Jul 2020
5008,2020-08-01,0.0,Aug 2020
5008,2020-09-01,0.0,Sep 2020
5008,2020-10-01,0.0,Oct 2020
5008,2020-11-01,0.0,Nov 2020
5008,2020-12-01,0.0,Dec 2020
5008,2021-01-01,0.0,Jan 2021
5008,2021-02-01,0.0,Feb 2021
5008,2021-03-01,0.0,Mar 2021
5008,2021-04-01,0.0,Apr 2021
5008,2021-05-01,0.0,May 2021
5008,2021-06-01,0.0,Jun 2021
5008,2021-07-01,1.0,Jul 2021
5008,2021-08-01,0.0,Aug 2021
5008,2021-09-01,0.0,Sep 2021
5008,2021-10-01,0.0,Oct 2021
5008,2021-11-01,0.0,Nov 2021
5008,2021-12-01,0.0,Dec 2021
5008,2022-01-01,0.0,Jan 2022
5008,2022-02-01,1.0,Feb 2022
5008,2022-03-01,0.0,Mar 2022
5008,2022-04-01,1.0,Apr 2022
5008,2022-05-01,0.0,May 2022
5008,2022-06-01,0.0,Jun 2022
5008,2022-07-01,0.0,Jul 2022
5008,2022-08-01,2.0,Aug 2022
5008,2022-09-01,0.0,Sep 2022
5008,2022-10-01,0.0,Oct 2022
5008,2022-11-01,0.0,Nov 2022
5008,2022-12-01,0.0,Dec 2022
5008,2023-01-01,0.0,Jan 2023
5008,2023-02-01,0.0,Feb 2023
5008,2023-03-01,0.0,Mar 2023
5008,2023-04-01,0.0,Apr 2023
5008,2023-05-01,0.0,May 2023
5008,2023-06-01,0.0,Jun 2023
5008,2023-07-01,0.0,Jul 2023
5008,2023-08-01,1.0,Aug 2023
5008,2023-09-01,0.0,Sep 2023
5008,2023-10-01,0.0,Oct 2023
5008,2023-11-01,0.0,Nov 2023
5008,2023-12-01,0.0,Dec 2023
5008,2024-01-01,0.0,Jan 2024
5008,2024-02-01,0.0,Feb 2024
5008,2024-03-01,0.0,Mar 2024
5008,2024-04-01,0.0,Apr 2024
5008,2024-05-01,0.0,May 2024
5008,2024-06-01,0.0,Jun 2024
5008,2024-07-01,0.0,Jul 2024
5008,2024-08-01,0.0,Aug 2024
5008,2024-09-01,1.0,Sep 2024
5008,2024-10-01,0.0,Oct 2024
5008,2024-11-01,1.0,Nov 2024
5008,2024-12-01,2.0,Dec 2024
5008,2025-01-01,0.0,Jan 2025
5008,2025-02-01,0.0,Feb 2025
5008,2025-03-01,0.0,Mar 2025
5008,2025-04-01,0.0,Apr 2025
5008,2025-05-01,0.0,May 2025
5008,2025-06-01,0.0,Jun 2025
5008,2025-07-01,0.0,Jul 2025
5008,2025-08-01,0.0,Aug 2025
